Name,l,b,r,a,b,e,angle,rc_pc,rc_min,rc_error,d_min,d_max,dist,dmod,dist_e,pmra,pmra_e,pmdec,pmdec_e,r_pm,member,cal_mem,age,br,brbv,bl,blbv,corresponding_clusters
46,37.13 ,-11.08 ,0.45 ,0.53 ,0.39 ,0.26 ,-26.23 ,3.40 ,17.18 ,0.27 ,630,735,686.58 ,680,24.65 ,0.11 ,0.15 ,-8.60 ,0.17 ,0.37 ,23,43.40 ,7.9,9.43 ,0.28 ,10.51 ,0.25 ,0
47,37.27 ,-11.13 ,1.77 ,2.19 ,1.44 ,0.34 ,0.31 ,11.74 ,67.03 ,0.62 ,499,726,606.50 ,602,49.83 ,0.47 ,0.21 ,-2.56 ,0.20 ,0.45 ,133,216.02 ,7.65,7.16 ,0.12 ,7.16 ,0.12 ,Collinder_401__dias__1
48,39.11 ,13.15 ,0.99 ,1.08 ,0.91 ,0.15 ,44.38 ,3.33 ,27.11 ,0.21 ,290,560,419.88 ,422,26.37 ,1.03 ,0.23 ,-6.47 ,0.19 ,0.54 ,50,51.14 ,8,10.35 ,0.23 ,10.35 ,0.23 ,Gulliver_20__cgoc__3
49,40.15 ,-10.70 ,0.58 ,0.68 ,0.50 ,0.27 ,-34.74 ,4.65 ,21.68 ,0.12 ,653,811,735.35 ,737,29.57 ,0.87 ,0.11 ,-2.49 ,0.10 ,0.30 ,27,50.59 ,8.5,7.91 ,1.70 ,11.32 ,0.49 ,"Alessi_44__cgoc__2d,ASCC_106__khar__1,Alessi_44__dias__1"
50,40.40 ,3.35 ,0.34 ,0.41 ,0.29 ,0.30 ,-3.70 ,4.09 ,14.14 ,0.14 ,920,1070,994.20 ,995,34.25 ,-1.33 ,0.11 ,-3.79 ,0.14 ,0.36 ,51,123.74 ,8.7,10.39 ,0.48 ,10.39 ,0.48 ,0
51,41.87 ,-30.70 ,0.57 ,0.69 ,0.47 ,0.31 ,68.00 ,3.04 ,18.46 ,0.10 ,477,657,567.11 ,567,21.87 ,5.06 ,0.16 ,2.07 ,0.11 ,0.35 ,21,24.86 ,8,9.60 ,0.00 ,9.60 ,0.00 ,0
52,44.69 ,-1.96 ,0.20 ,0.21 ,0.19 ,0.10 ,40.89 ,1.01 ,4.24 ,0.05 ,759,867,815.15 ,818,28.26 ,-0.16 ,0.05 ,-5.97 ,0.10 ,0.22 ,9,24.97 ,8.05,9.85 ,0.58 ,11.36 ,0.42 ,0
53,48.32 ,1.56 ,0.45 ,0.53 ,0.38 ,0.29 ,-0.77 ,2.57 ,14.93 ,0.05 ,564,620,592.42 ,591,13.01 ,2.44 ,0.12 ,1.08 ,0.09 ,0.27 ,43,81.31 ,8.9,10.26 ,0.51 ,10.26 ,0.51 ,0
54,48.37 ,4.28 ,0.44 ,0.54 ,0.35 ,0.35 ,2.63 ,3.49 ,14.53 ,0.11 ,758,893,825.94 ,827,30.69 ,-0.57 ,0.12 ,-5.88 ,0.12 ,0.32 ,60,128.62 ,7.9,10.07 ,0.37 ,10.14 ,0.37 ,0
55,48.66 ,-7.27 ,0.34 ,0.35 ,0.33 ,0.05 ,-14.22 ,1.79 ,7.93 ,0.05 ,714,827,771.05 ,777,28.40 ,-1.43 ,0.11 ,-6.86 ,0.09 ,0.27 ,30,48.86 ,7.95,6.16 ,1.16 ,10.80 ,0.21 ,0
