Name,l,b,r,a,b,e,angle,rc_pc,rc_min,rc_error,d_min,d_max,dist,dmod,dist_e,pmra,pmra_e,pmdec,pmdec_e,r_pm,member,cal_mem,age,br,brbv,bl,blbv,corresponding_clusters
151,95.50 ,0.27 ,2.13 ,2.66 ,1.70 ,0.36 ,7.93 ,7.56 ,47.40 ,0.17 ,429,677,544.68 ,548,26.52 ,5.51 ,0.17 ,1.02 ,0.13 ,0.34 ,40,65.35 ,8,9.16 ,0.51 ,9.92 ,0.14 ,"ASCC_114__cgoc__1,FSR_0304__khar__1,Kronberger_81__khar__1,FSR_0314__khar__1,FSR_0306__khar__1,NGC_7086__khar__1,FSR_0317__khar__1,FSR_0307__khar__1,FSR_0312__khar__1,FSR_0320__khar__1,Kronberger_84__khar__1,FSR_0324__khar__1,BDSB_22__khar__1,FSR_0326__khar__1,ASCC_114__khar__1,FSR_0316__khar__1,FSR_0323__khar__1,Barkhatova_2__khar__1,NGC_7128__khar__1,FSR_0319__khar__1,FSR_0304__dias__1,Kronberger_81__dias__1,FSR_0314__dias__1,FSR_0306__dias__1,NGC_7086__dias__1,FSR_0317__dias__1,FSR_0307__dias__1,FSR_0312__dias__1,FSR_0320__dias__1,Kronberger_84__dias__1,FSR_0324__dias__1,FSR_0326__dias__1,ASCC_114__dias__1,FSR_0316__dias__1,FSR_0323__dias__1,Barkhatova_2__dias__1,NGC_7128__dias__1,FSR_0319__dias__1"
152,96.18 ,4.94 ,0.79 ,1.01 ,0.62 ,0.39 ,-0.95 ,2.86 ,13.29 ,0.20 ,651,826,736.17 ,739,34.98 ,3.73 ,0.10 ,-1.17 ,0.12 ,0.33 ,19,46.38 ,9,12.35 ,0.94 ,12.35 ,0.94 ,0
153,96.55 ,-16.20 ,1.88 ,2.04 ,1.74 ,0.15 ,45.63 ,4.45 ,31.35 ,0.18 ,400,577,487.35 ,488,38.03 ,-1.84 ,0.37 ,-5.02 ,0.46 ,1.05 ,487,673.40 ,7.1,5.55 ,-0.22 ,5.67 ,-0.23 ,"ASCC_122__khar__1,ASCC_122__dias__1"
154,97.11 ,1.01 ,0.36 ,0.41 ,0.32 ,0.22 ,-0.14 ,1.99 ,7.50 ,0.02 ,871,954,913.08 ,914,20.47 ,-3.72 ,0.10 ,-3.40 ,0.10 ,0.27 ,91,218.25 ,7.5,8.87 ,0.32 ,8.87 ,0.32 ,"ASCC_114__cgoc__3,FSR_0326__khar__1,ASCC_114__khar__1,FSR_0326__dias__1,ASCC_114__dias__1"
155,97.22 ,10.93 ,0.76 ,0.89 ,0.64 ,0.28 ,0.25 ,2.68 ,10.40 ,0.13 ,834,943,887.01 ,887,23.29 ,-2.24 ,0.09 ,-3.86 ,0.15 ,0.29 ,23,56.15 ,7.55,9.25 ,0.21 ,9.25 ,0.21 ,0
156,97.32 ,-1.95 ,0.44 ,0.58 ,0.33 ,0.44 ,27.74 ,2.81 ,10.72 ,0.15 ,846,965,902.75 ,902,27.15 ,-0.32 ,0.10 ,-1.91 ,0.08 ,0.25 ,14,26.31 ,7.9,9.10 ,0.17 ,9.10 ,0.17 ,0
157,97.46 ,-0.77 ,1.44 ,1.53 ,1.35 ,0.12 ,-38.82 ,9.77 ,41.18 ,0.40 ,691,995,832.39 ,816,66.61 ,-1.79 ,0.16 ,-0.69 ,0.18 ,0.40 ,47,87.80 ,7.9,5.57 ,2.07 ,11.75 ,0.39 ,"FSR_0323__khar__1,NGC_7128__khar__1,FSR_0323__dias__1,NGC_7128__dias__1"
158,97.50 ,-2.56 ,1.58 ,1.74 ,1.44 ,0.18 ,-35.75 ,1.48 ,6.78 ,0.93 ,664,846,750.77 ,749,38.58 ,-0.54 ,0.15 ,-0.58 ,0.16 ,0.38 ,101,189.23 ,7.9,8.06 ,0.44 ,9.31 ,0.04 ,"ASCC_115__cgoc__3,FSR_0322__khar__1,FSR_0325__khar__1,ASCC_115__khar__1,FSR_0322__dias__1,FSR_0325__dias__1,ASCC_115__dias__1"
159,97.76 ,-13.06 ,0.99 ,1.19 ,0.82 ,0.31 ,-9.67 ,3.60 ,19.77 ,0.13 ,513,753,629.03 ,626,44.06 ,0.57 ,0.18 ,-2.28 ,0.19 ,0.46 ,32,44.44 ,8.35,9.16 ,0.03 ,9.16 ,0.03 ,"FSR_0328__khar__1,FSR_0330__khar__1,FSR_0331__khar__1"
160,98.40 ,15.02 ,0.49 ,0.62 ,0.38 ,0.39 ,67.60 ,0.28 ,2.03 ,0.20 ,372,589,479.86 ,480,15.25 ,3.68 ,0.21 ,0.29 ,0.18 ,0.79 ,14,22.89 ,6.7,9.18 ,0.27 ,9.18 ,0.27 ,0
161,99.29 ,3.76 ,0.43 ,0.45 ,0.40 ,0.12 ,-36.53 ,2.12 ,8.07 ,0.02 ,834,986,907.54 ,905,38.36 ,-2.39 ,0.33 ,-4.67 ,0.30 ,0.80 ,249,679.87 ,7.05,8.22 ,0.56 ,8.79 ,0.26 ,"IC_1396__cgoc__3,IC_1396__khar__1,Trumpler_37__dias__1,IC_1396__cocd__1"
162,99.46 ,3.96 ,1.28 ,1.44 ,1.15 ,0.20 ,-4.54 ,3.53 ,20.03 ,0.05 ,500,734,603.30 ,606,31.11 ,-6.17 ,0.27 ,-5.82 ,0.25 ,0.66 ,61,115.35 ,8.9,10.24 ,1.52 ,11.05 ,0.61 ,"IC_1396__cgoc__1,IC_1396__khar__1,IRAS_21388+5622__khar__1,Teutsch_74__khar__1,Trumpler_37__dias__1,Teutsch_74__dias__1,IC_1396__cocd__1"
163,99.77 ,6.42 ,2.21 ,2.42 ,2.01 ,0.17 ,-30.02 ,36.97 ,147.78 ,0.28 ,775,945,860.46 ,860,42.16 ,-2.40 ,0.21 ,-3.50 ,0.23 ,0.50 ,270,570.91 ,7.1,4.85 ,2.97 ,9.86 ,0.20 ,"Riddle_6__khar__1,UBC10__ubc__1"
164,99.92 ,4.82 ,1.19 ,1.39 ,1.01 ,0.27 ,-86.40 ,4.40 ,16.23 ,0.16 ,839,1027,932.97 ,933,45.20 ,-1.46 ,0.18 ,-3.26 ,0.17 ,0.43 ,124,339.67 ,7.25,7.85 ,0.65 ,8.69 ,0.26 ,0
165,100.23 ,7.77 ,2.19 ,2.35 ,2.05 ,0.13 ,3.06 ,19.75 ,70.96 ,0.24 ,873,1041,958.42 ,957,40.26 ,-4.53 ,0.18 ,-4.85 ,0.21 ,0.43 ,127,269.73 ,7.45,8.81 ,0.45 ,10.70 ,0.29 ,"Riddle_6__khar__1,FSR_0346__khar__1,FSR_0347__khar__1,UBC10__ubc__2d"
166,100.27 ,-9.88 ,1.26 ,1.52 ,1.05 ,0.31 ,-30.86 ,3.31 ,17.49 ,0.12 ,576,725,650.12 ,651,26.74 ,-0.92 ,0.12 ,-3.26 ,0.17 ,0.36 ,131,181.84 ,7.6,9.07 ,-0.05 ,9.07 ,-0.05 ,0
167,100.48 ,-6.74 ,1.68 ,1.81 ,1.57 ,0.14 ,18.59 ,6.18 ,38.98 ,0.17 ,441,660,544.52 ,545,32.67 ,1.56 ,0.17 ,-0.09 ,0.16 ,0.43 ,89,105.17 ,8,6.04 ,1.33 ,7.30 ,0.12 ,0
168,101.43 ,-14.64 ,1.22 ,1.40 ,1.06 ,0.24 ,-32.91 ,2.84 ,16.40 ,0.13 ,539,653,597.07 ,596,21.43 ,-0.53 ,0.13 ,-3.95 ,0.13 ,0.37 ,99,137.16 ,7.65,7.73 ,-0.02 ,7.73 ,-0.02 ,0
169,101.63 ,4.84 ,0.88 ,1.06 ,0.74 ,0.31 ,55.85 ,2.51 ,10.24 ,0.10 ,776,911,842.02 ,842,30.06 ,-1.95 ,0.15 ,-2.36 ,0.16 ,0.43 ,64,152.85 ,7.1,7.20 ,0.44 ,8.61 ,0.24 ,0
170,101.74 ,-11.38 ,0.80 ,0.94 ,0.69 ,0.27 ,-9.79 ,2.74 ,13.39 ,0.09 ,658,754,702.12 ,703,22.10 ,0.37 ,0.12 ,-1.58 ,0.11 ,0.33 ,93,151.15 ,7.9,7.90 ,0.20 ,10.45 ,0.11 ,"Alessi_37__cgoc__3,ASCC_124__khar__1,Alessi_37__dias__1"
171,101.99 ,-2.73 ,1.53 ,1.65 ,1.42 ,0.14 ,15.94 ,6.54 ,42.17 ,0.88 ,388,678,531.58 ,533,56.95 ,4.19 ,0.28 ,-0.84 ,0.26 ,0.62 ,63,87.42 ,7.5,8.63 ,0.16 ,9.58 ,0.02 ,"NGC_7245__khar__1,King_9__khar__1,IC_1442__khar__1,FSR_0357__khar__1,NGC_7245__dias__1,King_9__dias__1,IC_1442__dias__1,FSR_0357__dias__1,IC_1442__cocd__1"
172,102.55 ,7.35 ,0.29 ,0.31 ,0.27 ,0.13 ,40.32 ,0.99 ,3.74 ,0.04 ,844,982,915.58 ,909,34.20 ,-2.06 ,0.12 ,-3.04 ,0.10 ,0.30 ,35,84.81 ,7.15,9.26 ,0.91 ,10.40 ,0.26 ,0
173,102.63 ,2.95 ,1.21 ,1.26 ,1.17 ,0.07 ,10.32 ,7.53 ,30.49 ,0.26 ,727,971,843.44 ,849,55.30 ,2.26 ,0.29 ,-1.97 ,0.25 ,0.65 ,66,141.65 ,9,10.84 ,0.87 ,11.11 ,0.46 ,"Dolidze_56__khar__1,FSR_0358__khar__1,FSR_0358__dias__1"
174,102.63 ,1.21 ,0.52 ,0.60 ,0.46 ,0.24 ,1.69 ,2.65 ,10.12 ,0.02 ,835,969,899.89 ,900,27.31 ,1.80 ,0.18 ,1.61 ,0.17 ,0.54 ,76,162.75 ,8.6,8.92 ,1.65 ,10.78 ,0.44 ,"FSR_0354__khar__1,NGC_7235__khar__1,FSR_0354__dias__1,NGC_7235__dias__1,NGC_7235__cocd__1"
175,103.98 ,6.40 ,0.68 ,0.75 ,0.62 ,0.17 ,25.05 ,2.62 ,9.79 ,0.09 ,856,985,919.88 ,919,30.68 ,-3.48 ,0.17 ,-1.35 ,0.20 ,0.49 ,114,241.29 ,7.15,6.61 ,0.34 ,9.16 ,0.15 ,"NGC_7160__cgoc__3,NGC_7160__khar__1,NGC_7160__dias__1,NGC_7160__cocd__1"
176,104.59 ,7.64 ,1.36 ,1.61 ,1.15 ,0.29 ,18.17 ,7.62 ,29.48 ,0.13 ,786,990,892.47 ,888,50.21 ,-3.22 ,0.15 ,-4.50 ,0.17 ,0.36 ,71,150.61 ,7.5,8.19 ,0.26 ,8.19 ,0.26 ,"NGC_7160__cgoc__2d,NGC_7160__khar__1,Berkeley_93__khar__1,NGC_7160__dias__1,Berkeley_93__dias__1,NGC_7160__cocd__1"
177,104.63 ,-4.04 ,3.55 ,3.88 ,3.25 ,0.16 ,-2.99 ,5.09 ,69.69 ,0.29 ,141,361,250.50 ,251,40.60 ,12.09 ,0.68 ,-1.51 ,0.69 ,1.61 ,134,134.00 ,7.9,6.10 ,-0.09 ,6.10 ,-0.09 ,"ASCC_123__cgoc__3,Berkeley_94__khar__1,NGC_7296__khar__1,Berkeley_96__khar__1,ASCC_120__khar__1,ASCC_121__khar__1,FSR_0357__khar__1,FSR_0365__khar__1,FSR_0362__khar__1,ASCC_123__khar__1,Berkeley_98__khar__1,FSR_0384__khar__1,NGC_7423__khar__1,NGC_7438__khar__1,Berkeley_94__dias__1,NGC_7296__dias__1,Berkeley_96__dias__1,ASCC_120__dias__1,ASCC_121__dias__1,FSR_0357__dias__1,FSR_0365__dias__1,NGC_7352__dias__1,ASCC_123__dias__1,Berkeley_98__dias__1,NGC_7394__dias__1,FSR_0384__dias__1,NGC_7423__dias__1,NGC_7438__dias__1,NGC_7438__cocd__1"
178,104.86 ,2.71 ,0.10 ,0.11 ,0.08 ,0.31 ,-72.29 ,0.42 ,1.53 ,0.03 ,898,976,940.18 ,949,20.86 ,-4.34 ,0.15 ,-3.36 ,0.14 ,0.42 ,15,48.42 ,8.5,10.84 ,0.92 ,11.56 ,0.84 ,0
179,104.90 ,-8.24 ,0.81 ,0.97 ,0.68 ,0.30 ,-11.50 ,3.44 ,14.26 ,0.08 ,723,967,842.14 ,829,58.54 ,-1.78 ,0.24 ,-4.87 ,0.23 ,0.48 ,37,60.49 ,7.95,9.98 ,0.09 ,9.98 ,0.09 ,UBC6__ubc__2d
180,105.11 ,-1.44 ,0.75 ,0.92 ,0.62 ,0.33 ,2.79 ,4.56 ,18.83 ,0.08 ,733,934,834.41 ,832,38.40 ,-0.61 ,0.17 ,0.21 ,0.16 ,0.43 ,40,75.64 ,8.55,9.10 ,0.17 ,9.10 ,0.17 ,0
181,105.14 ,-0.65 ,0.58 ,0.68 ,0.49 ,0.28 ,18.96 ,1.82 ,6.27 ,0.10 ,894,1096,994.28 ,995,47.58 ,-1.74 ,0.13 ,-1.76 ,0.07 ,0.24 ,25,60.24 ,8.45,9.92 ,0.48 ,13.00 ,0.47 ,"ASCC_120__khar__1,ASCC_120__dias__1"
182,105.29 ,4.06 ,0.12 ,0.14 ,0.11 ,0.22 ,14.45 ,0.24 ,0.96 ,0.03 ,785,930,855.50 ,860,34.42 ,-1.51 ,0.14 ,-3.00 ,0.23 ,0.52 ,30,97.02 ,6.8,10.61 ,0.67 ,12.46 ,0.66 ,"BDSB30__cgoc__3,BDSB_30__khar__1"
183,105.42 ,9.89 ,0.31 ,0.43 ,0.22 ,0.48 ,65.63 ,0.00 ,0.01 ,0.00 ,804,974,882.30 ,881,34.03 ,-1.74 ,0.21 ,-3.44 ,0.29 ,0.57 ,33,79.51 ,7.1,9.92 ,0.76 ,11.99 ,0.58 ,"NGC_7129__cgoc__3,BDSB_31__khar__1,NGC_7129__khar__1,NGC_7129__dias__1"
184,105.70 ,13.78 ,1.50 ,2.15 ,1.05 ,0.51 ,-18.42 ,1.30 ,12.90 ,0.81 ,216,485,341.77 ,346,13.70 ,7.88 ,0.43 ,-1.04 ,0.40 ,0.97 ,66,77.99 ,6.85,7.16 ,0.73 ,9.33 ,0.10 ,"FSR_0368__khar__1,FSR_0379__khar__1"
185,105.82 ,-9.95 ,0.52 ,0.63 ,0.42 ,0.33 ,7.91 ,0.84 ,5.25 ,0.03 ,489,615,551.52 ,552,22.60 ,2.66 ,0.16 ,-1.93 ,0.17 ,0.55 ,83,98.27 ,7.95,8.98 ,0.07 ,9.44 ,0.07 ,0
186,105.83 ,2.05 ,1.01 ,1.11 ,0.92 ,0.17 ,-3.91 ,10.58 ,37.22 ,0.39 ,866,1088,978.15 ,977,55.18 ,-3.05 ,0.18 ,-2.73 ,0.16 ,0.39 ,88,214.82 ,7.4,8.96 ,2.98 ,11.54 ,0.44 ,"Teutsch_53__khar__1,Berkeley_95__khar__1,Teutsch_53__dias__1,Berkeley_95__dias__1"
187,105.90 ,8.77 ,0.92 ,0.96 ,0.87 ,0.10 ,-14.14 ,1.55 ,11.64 ,0.16 ,332,587,457.26 ,458,17.48 ,5.75 ,0.24 ,-0.26 ,0.20 ,0.60 ,30,35.45 ,7.3,6.37 ,-0.07 ,6.37 ,-0.07 ,"NGC_7142__khar__1,NGC_7142__dias__1"
188,106.64 ,5.26 ,0.33 ,0.37 ,0.30 ,0.20 ,41.96 ,0.86 ,3.21 ,0.07 ,853,993,925.10 ,923,30.05 ,-2.46 ,0.19 ,-2.34 ,0.24 ,0.56 ,49,133.63 ,7.05,7.65 ,0.47 ,7.65 ,0.47 ,"Pismis_Moreno_1__cgoc__3,Pismis-Moreno_1__khar__1,Pismis_Moreno_1__dias__1,Pismis-Moreno_1__cocd__1"
189,107.39 ,7.64 ,0.73 ,0.81 ,0.67 ,0.18 ,71.65 ,12.95 ,44.48 ,0.41 ,912,1090,1002.96 ,1001,40.11 ,-2.65 ,0.10 ,-3.32 ,0.11 ,0.27 ,31,86.50 ,7.2,8.91 ,0.67 ,11.62 ,0.43 ,0
190,107.57 ,-4.98 ,1.33 ,1.57 ,1.13 ,0.28 ,6.17 ,6.80 ,28.75 ,0.18 ,729,908,813.72 ,813,36.46 ,-2.22 ,0.10 ,-4.11 ,0.12 ,0.25 ,36,68.00 ,8.75,9.78 ,0.62 ,11.01 ,0.21 ,"NGC_7438__khar__1,NGC_7438__dias__1,NGC_7438__cocd__1"
191,107.68 ,4.61 ,0.62 ,0.68 ,0.56 ,0.17 ,-36.17 ,0.01 ,0.02 ,0.00 ,793,960,874.12 ,874,36.88 ,-1.04 ,0.16 ,-1.87 ,0.17 ,0.41 ,34,107.73 ,6.9,9.78 ,0.98 ,10.01 ,0.44 ,0
192,107.79 ,-1.34 ,1.70 ,1.85 ,1.55 ,0.16 ,-7.89 ,15.83 ,64.11 ,0.73 ,716,997,854.33 ,849,63.27 ,-0.09 ,0.19 ,0.60 ,0.17 ,0.40 ,66,124.67 ,8.9,10.66 ,0.31 ,10.66 ,0.31 ,"RSG_7__cgoc__1,RSG_8__cgoc__1,FSR_0381__khar__1,FSR_0385__khar__1,NGC_7380__khar__1,King_18__khar__1,King_10__khar__1,NGC_7423__khar__1,FSR_0394__khar__1,BDSB_37__khar__1,Cep_OB5__khar__1,FSR_0381__dias__1,FSR_0385__dias__1,NGC_7380__dias__1,King_18__dias__1,King_10__dias__1,NGC_7423__dias__1,FSR_0394__dias__1,NGC_7380__cocd__1,RSG7__rsg__1,RSG8__rsg__1"
193,108.07 ,-9.48 ,1.86 ,2.01 ,1.71 ,0.15 ,-1.88 ,13.22 ,60.58 ,0.41 ,653,855,748.33 ,750,39.98 ,-0.55 ,0.15 ,-3.05 ,0.14 ,0.36 ,73,118.65 ,7.9,8.19 ,0.16 ,9.34 ,0.07 ,ASCC_126__dias__1
194,108.29 ,6.36 ,0.42 ,0.50 ,0.36 ,0.27 ,14.37 ,2.22 ,8.27 ,0.02 ,853,992,921.23 ,924,32.82 ,-0.76 ,0.31 ,-3.09 ,0.33 ,0.98 ,92,250.28 ,7.35,5.37 ,0.51 ,5.37 ,0.51 ,0
195,108.55 ,-0.33 ,0.17 ,0.22 ,0.14 ,0.37 ,-0.75 ,1.03 ,3.97 ,0.03 ,854,934,892.67 ,892,19.93 ,2.13 ,0.08 ,0.08 ,0.06 ,0.22 ,26,70.91 ,8,8.19 ,2.04 ,12.08 ,0.87 ,"King_10__khar__1,King_10__dias__1"
196,108.86 ,5.03 ,0.33 ,0.36 ,0.30 ,0.16 ,-1.94 ,0.04 ,0.13 ,0.21 ,886,979,933.62 ,932,19.97 ,-3.20 ,0.13 ,-1.09 ,0.10 ,0.35 ,55,150.66 ,7.35,10.11 ,0.65 ,10.11 ,0.65 ,"FSR_0398__cgoc__3,FSR_0398__khar__1"
197,108.90 ,0.22 ,0.97 ,1.30 ,0.73 ,0.44 ,17.52 ,2.65 ,21.58 ,0.10 ,337,510,422.72 ,422,18.14 ,4.75 ,0.15 ,-2.17 ,0.15 ,0.40 ,59,60.31 ,8,6.41 ,0.10 ,6.41 ,0.10 ,"RSG_7__cgoc__3,RSG_8__cgoc__2d,NGC_7419__khar__1,King_10__khar__1,NGC_7429__khar__1,BDSB_37__khar__1,FSR_0401__khar__1,Majaess_215__dias__1,NGC_7419__dias__1,King_10__dias__1,NGC_7429__dias__1,FSR_0401__dias__1,RSG8__rsg__1"
198,109.68 ,4.45 ,0.85 ,1.07 ,0.67 ,0.38 ,-3.15 ,1.47 ,6.00 ,0.07 ,758,941,840.60 ,844,26.01 ,-4.90 ,0.10 ,-2.14 ,0.11 ,0.30 ,27,74.92 ,8.6,10.28 ,0.77 ,10.28 ,0.77 ,0
199,109.78 ,-6.08 ,1.13 ,1.24 ,1.02 ,0.18 ,18.73 ,3.19 ,16.79 ,0.16 ,585,724,654.28 ,654,25.92 ,1.23 ,0.14 ,0.20 ,0.12 ,0.32 ,67,93.00 ,7.95,9.25 ,0.09 ,9.25 ,0.09 ,"ASCC_128__cgoc__3,ASCC_128__khar__1,ASCC_128__dias__1"
200,109.85 ,-1.50 ,1.77 ,2.00 ,1.56 ,0.22 ,5.41 ,49.23 ,176.12 ,3.79 ,862,1060,961.84 ,961,51.19 ,-0.46 ,0.23 ,-0.96 ,0.23 ,0.53 ,261,553.64 ,7.75,7.27 ,0.64 ,10.43 ,0.20 ,"RSG_7__cgoc__1,RSG_8__cgoc__1,King_10__khar__1,FSR_0394__khar__1,BDSB_37__khar__1,FSR_0401__khar__1,FSR_0417__khar__1,IRAS_23151+5912__khar__1,King_10__dias__1,FSR_0394__dias__1,FSR_0401__dias__1,Reiland_1__dias__1,Kronberger_23__dias__1,FSR_0417__dias__1,RSG7__rsg__1,RSG8__rsg__1"
201,109.99 ,1.64 ,0.27 ,0.34 ,0.21 ,0.38 ,-39.10 ,0.48 ,1.80 ,0.22 ,867,967,918.85 ,919,14.70 ,-3.95 ,0.16 ,-3.37 ,0.09 ,0.35 ,18,58.21 ,6.6,11.70 ,1.46 ,12.35 ,0.85 ,0
202,110.22 ,-12.86 ,0.81 ,0.96 ,0.67 ,0.30 ,-86.59 ,2.89 ,23.12 ,0.05 ,295,577,429.13 ,430,27.73 ,-0.01 ,0.27 ,-2.18 ,0.37 ,0.83 ,69,81.67 ,7,8.51 ,0.11 ,8.59 ,-0.03 ,"Aveni_Hunter_1__cgoc__3,Aveni-Hunter_1__khar__1,Aveni_Hunter_1__dias__1,Aveni-Hunter_1__cocd__1"
203,110.33 ,2.71 ,0.89 ,1.13 ,0.70 ,0.38 ,5.63 ,5.51 ,22.54 ,0.03 ,771,911,839.80 ,841,35.10 ,-1.02 ,0.35 ,-2.23 ,0.35 ,0.83 ,607,1653.00 ,6.75,7.45 ,0.92 ,11.99 ,0.42 ,"FSR_0404__khar__1,FSR_0406__khar__1,ASCC_125__khar__1,FSR_0413__khar__1,FSR_0414__khar__1,FSR_0416__khar__1,FSR_0418__khar__1,FSR_0404__dias__1,FSR_0406__dias__1,ASCC_125__dias__1,FSR_0413__dias__1,FSR_0414__dias__1,FSR_0416__dias__1"
204,110.59 ,0.12 ,0.78 ,0.80 ,0.76 ,0.05 ,-24.13 ,1.52 ,5.59 ,0.39 ,841,1029,932.34 ,935,37.38 ,2.91 ,0.12 ,1.71 ,0.14 ,0.36 ,17,41.38 ,9,11.38 ,0.79 ,11.38 ,0.79 ,"Pfleiderer_3__khar__1,King_19__khar__1,NGC_7510__khar__1,Reiland_1__dias__1,Kronberger_23__dias__1,Pfleiderer_3__dias__1,King_19__dias__1,NGC_7510__dias__1,NGC_7510__cocd__1"
205,111.11 ,9.37 ,1.70 ,1.80 ,1.62 ,0.10 ,-69.69 ,3.69 ,33.25 ,0.17 ,232,532,376.39 ,382,45.48 ,6.27 ,0.40 ,0.05 ,0.40 ,0.89 ,46,54.45 ,7.1,9.02 ,0.33 ,9.02 ,0.33 ,"FSR_0428__khar__1,FSR_0429__khar__1"
206,111.43 ,-8.49 ,0.82 ,1.06 ,0.63 ,0.40 ,-8.13 ,1.59 ,12.51 ,0.08 ,395,479,436.91 ,437,13.16 ,8.53 ,0.15 ,-1.86 ,0.14 ,0.39 ,84,99.41 ,8,7.97 ,0.02 ,7.97 ,0.02 ,"Stock_12__cgoc__3,Stock_12__khar__1,Stock_12__dias__1,Stock_12__cocd__1"
207,111.73 ,-0.40 ,1.71 ,2.03 ,1.43 ,0.30 ,16.95 ,12.40 ,42.75 ,0.05 ,895,1099,995.84 ,997,52.16 ,-3.27 ,0.20 ,-4.43 ,0.23 ,0.49 ,195,415.68 ,8.6,8.52 ,1.86 ,10.85 ,0.36 ,"Pfleiderer_3__khar__1,King_19__khar__1,NGC_7510__khar__1,NGC_7538__khar__1,FSR_0417__khar__1,FSR_0425__khar__1,FSR_0422__khar__1,Markarian_50__khar__1,IRAS_23151+5912__khar__1,Cas_OB2__khar__1,BDSB_44__khar__1,NGC_7654__khar__1,Czernik_43__khar__1,Skiff_J2330+60.2__khar__1,FSR_0435__khar__1,Kronberger_23__dias__1,Pfleiderer_3__dias__1,King_19__dias__1,NGC_7510__dias__1,FSR_0417__dias__1,FSR_0425__dias__1,FSR_0422__dias__1,Markarian_50__dias__1,FSR_0426__dias__1,NGC_7654__dias__1,Czernik_43__dias__1,FSR_0436__dias__1,Skiff_J2330+60.2__dias__1,FSR_0435__dias__1,NGC_7510__cocd__1,NGC_7654__cocd__1,Czernik_43__cocd__1"
208,111.76 ,-4.80 ,3.00 ,3.39 ,2.65 ,0.22 ,10.76 ,0.02 ,0.11 ,0.00 ,553,809,679.74 ,681,51.33 ,5.45 ,0.22 ,-1.30 ,0.20 ,0.46 ,82,133.28 ,8.2,7.82 ,1.60 ,9.67 ,0.07 ,"ASCC_128__cgoc__2d,ASCC_128__khar__1,Dolidze_46__khar__1,ASCC_129__khar__1,FSR_0427__khar__1,Stock_11__khar__1,King_20__khar__1,Berkeley_102__khar__1,FSR_0441__khar__1,ASCC_128__dias__1,Alessi_J2327+55__dias__1,Stock_11__dias__1,King_20__dias__1,Berkeley_102__dias__1,FSR_0441__dias__1"
209,112.01 ,13.89 ,0.77 ,1.18 ,0.50 ,0.57 ,8.58 ,2.73 ,27.33 ,0.45 ,244,443,343.64 ,344,12.54 ,5.32 ,0.24 ,1.68 ,0.26 ,0.61 ,48,66.66 ,7,8.30 ,0.16 ,8.30 ,0.16 ,"vdBergh_150__khar__1,vdBergh_150__dias__1"
210,112.07 ,-8.33 ,2.26 ,2.48 ,2.05 ,0.18 ,-6.17 ,12.53 ,68.15 ,0.59 ,516,748,631.11 ,632,49.09 ,2.19 ,0.18 ,-0.22 ,0.20 ,0.46 ,87,120.30 ,8,6.59 ,0.04 ,6.59 ,0.04 ,"Stock_12__cgoc__1,Stock_12__khar__1,Stock_12__dias__1,Stock_12__cocd__1"
211,112.14 ,-3.11 ,2.67 ,2.91 ,2.45 ,0.16 ,-21.99 ,17.53 ,74.67 ,0.56 ,698,916,807.49 ,807,51.48 ,1.96 ,0.20 ,-1.18 ,0.22 ,0.48 ,154,290.89 ,8.9,7.85 ,1.42 ,8.62 ,0.02 ,"FSR_0417__khar__1,IRAS_23151+5912__khar__1,Dolidze_46__khar__1,ASCC_129__khar__1,FSR_0427__khar__1,Skiff_J2330+60.2__khar__1,FSR_0435__khar__1,Stock_11__khar__1,King_20__khar__1,Berkeley_102__khar__1,FSR_0441__khar__1,FSR_0443__khar__1,Berkeley_103__khar__1,FSR_0417__dias__1,Alessi_J2327+55__dias__1,FSR_0436__dias__1,Skiff_J2330+60.2__dias__1,FSR_0435__dias__1,Stock_11__dias__1,King_20__dias__1,Berkeley_102__dias__1,FSR_0441__dias__1,FSR_0443__dias__1,Berkeley_103__dias__1"
212,113.01 ,-1.53 ,0.20 ,0.25 ,0.16 ,0.38 ,-53.31 ,0.89 ,3.16 ,0.06 ,954,993,972.36 ,971,9.42 ,-1.07 ,0.07 ,-1.96 ,0.05 ,0.16 ,8,43.64 ,8.45,10.30 ,0.84 ,12.39 ,0.71 ,"FSR_0435__khar__1,FSR_0435__dias__1"
