# name, other_name, ra, dec, diameter, ebv, ebv_error, ejh_ejk, distance_modulus, distance_modulus_error, distance, distance_error, age, age_error, url
SAI 74,FSR 1150,106.1525,-6.6106,3.0,0.94,0.06,0.67,13.6,0.26,5250,670,8.3,-inf,http://ocl.sai.msu.ru/catalog/sai_74/
SAI 75,Patchick 79,108.8438,-7.4222,4.0,0.23,0.03,0.75,12.24,0.24,2800,330,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_75/
SAI 76,FSR 1253,111.5725,-18.4319,6.0,0.62,0.01,0.53,12.11,0.24,2640,310,8.4,0.05,http://ocl.sai.msu.ru/catalog/sai_76/
SAI 77,FSR 1275,112.0258,-21.7961,4.0,0.6,0.1,0.65,12.87,0.12,3750,210,9.4,0.05,http://ocl.sai.msu.ru/catalog/sai_77/
SAI 78,Teutsch 61,113.6658,-19.7897,3.0,0.55,0.02,0.51,11.42,0.1,1920,90,6.95,0.05,http://ocl.sai.msu.ru/catalog/sai_78/
ESO 368-11,FSR 1353,116.0925,-34.6186,6.0,0.06,0.1,0.19,10.86,0.41,1490,310,9.0,0.05,http://ocl.sai.msu.ru/catalog/eso_368-11/
SAI 79,FSR 1347,117.0142,-33.7097,6.0,1.09,0.15,0.62,11.95,0.07,2450,80,8.7,-inf,http://ocl.sai.msu.ru/catalog/sai_79/
SAI 80,Teutsch 25,117.1112,-27.9142,5.0,0.57,0.12,0.67,11.48,0.16,1980,150,9.0,-inf,http://ocl.sai.msu.ru/catalog/sai_80/
SAI 81,,118.0300,-28.1225,7.0,0.4,0.02,0.76,12.21,0.19,2770,250,8.7,-inf,http://ocl.sai.msu.ru/catalog/sai_81/
SAI 82,,118.0600,-33.0408,3.0,0.39,0.07,0.46,10.3,0.05,1150,30,9.45,-inf,http://ocl.sai.msu.ru/catalog/sai_82/
SAI 83,,118.3337,-32.5583,3.0,1.0,0.15,0.63,12.96,0.34,3900,660,8.85,0.05,http://ocl.sai.msu.ru/catalog/sai_83/
SAI 84,Kronberger 85,119.5900,-34.7692,2.0,1.17,0.19,0.64,14.65,0.11,8500,440,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_84/
SAI 85,FSR 1378,120.2979,-40.6781,6.0,1.21,0.25,0.67,11.74,0.13,2230,140,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_85/
ESO 311-21,,120.4233,-41.5992,5.0,0.49,0.02,0.53,11.84,0.08,2330,90,10.1,0.05,http://ocl.sai.msu.ru/catalog/eso_311-21/
Ruprecht 48,,120.6771,-32.0506,3.0,0.29,0.04,0.45,12.41,0.05,3030,70,8.6,-inf,http://ocl.sai.msu.ru/catalog/ruprecht_48/
SAI 86,,122.0625,-36.6092,6.0,0.69,0.09,0.61,12.41,0.16,3030,230,8.6,0.05,http://ocl.sai.msu.ru/catalog/sai_86/
SAI 87,FSR 1380,122.7708,-39.9975,4.0,1.28,0.3,0.69,11.8,0.19,2290,210,8.65,-inf,http://ocl.sai.msu.ru/catalog/sai_87/
Ruprecht 54,,122.8404,-31.9436,2.0,0.35,0.04,0.58,12.71,0.27,3480,460,8.45,0.05,http://ocl.sai.msu.ru/catalog/ruprecht_54/
SAI 88,,123.2400,-41.8836,2.0,0.92,0.02,0.54,14.58,0.25,8240,1000,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_88/
Ruprecht 60,,126.0958,-47.2103,4.0,0.57,0.06,0.58,12.84,0.11,3700,190,8.65,-inf,http://ocl.sai.msu.ru/catalog/ruprecht_60/
SAI 89,FSR 1387,126.1054,-39.9364,3.0,1.19,0.11,0.58,11.82,0.18,2310,200,8.8,-inf,http://ocl.sai.msu.ru/catalog/sai_89/
ESO 312-03,FSR 1394,126.1088,-41.2978,6.0,0.52,0.1,0.42,11.68,0.57,2170,650,8.9,-inf,http://ocl.sai.msu.ru/catalog/eso_312-03/
ESO 312-04,,126.7133,-41.2442,2.0,0.49,0.01,0.53,11.91,0.11,2410,130,8.75,-inf,http://ocl.sai.msu.ru/catalog/eso_312-04/
SAI 90,,126.9954,-41.7694,7.0,1.02,0.21,0.67,12.19,0.11,2740,140,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_90/
Ruprecht 63,,128.1725,-48.3058,6.0,0.54,0.04,0.57,12.13,0.08,2670,100,8.5,-inf,http://ocl.sai.msu.ru/catalog/ruprecht_63/
SAI 91,,129.2642,-50.0644,4.0,0.51,0.02,0.5,12.45,0.16,3090,240,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_91/
SAI 92,FSR 1436,129.8938,-46.2983,5.0,0.39,0.1,0.67,10.99,0.17,1580,130,8.0,0.05,http://ocl.sai.msu.ru/catalog/sai_92/
